,Protein,Subgraph,Degree,Information,Betweenness,Network,isoelectric point,negatively charged particle,positively charged particle,absorbance,Pred_Cluster
171,YNL113W,640000000000000.0,26,3.6740646,28411.283,3.1675777000000003,4.315,34,14,0.29225,-1
172,YLL011W,630000000000000.0,24,3.6345142999999998,4348.041,1.9130435000000001,9.41974,67,84,1.2093200000000002,-1
173,YGR155W,625000000000000.0,24,3.6345142999999998,11359.315,1.4265700000000001,6.24921,69,66,0.8204899999999999,-1
174,YDR502C,621000000000000.0,31,3.7539133999999996,12705.258,0.47796103,5.17889,56,45,1.06436,-1
175,YDL147W,613000000000000.0,48,3.9131224000000002,88938.39,16.935835,5.79352,70,61,1.05413,-1
176,YDR190C,611000000000000.0,31,3.7539133999999996,14386.353000000001,2.5197587,5.66437,65,58,0.36183000000000004,-1
177,YLR355C,611000000000000.0,28,3.7088745000000003,10379.154,0.5925925999999999,9.10419,46,54,1.51427,-1
178,YML057W,609000000000000.0,23,3.6126745000000002,8694.562,1.7272726999999999,5.92438,81,68,0.8979,-1
179,YNL250W,605000000000000.0,32,3.7673379999999996,19576.92,3.2937623999999994,5.78326,229,208,0.46108000000000005,-1
180,YJL020C,605000000000000.0,95,4.072236,314617.25,11.678827,5.1673,184,127,0.46985,-1
181,YGL245W,604000000000000.0,28,3.7088745000000003,19196.146,1.1864478999999999,7.21466,108,108,1.25115,-1
182,YMR109W,599000000000000.0,78,4.035391000000001,192250.06,20.861464,9.31805,132,164,0.9541799999999999,-1
183,YDR260C,599000000000000.0,22,3.5892177000000003,28469.3,1.8095238,5.06061,25,16,1.59849,-1
184,YLR096W,598000000000000.0,58,3.9667227,92576.02,7.480448,9.42853,108,137,0.6497,-1
185,YHR114W,596000000000000.0,176,4.152772,957938.9,17.774496,5.69525,95,85,1.06491,-1
186,YLR191W,594000000000000.0,97,4.07566,342628.47,12.577809,8.96857,37,42,1.24785,-1
187,YJR068W,591000000000000.0,32,3.7673379999999996,24739.686,5.3942065,8.613339999999999,43,47,0.8433299999999999,-1
188,YDR131C,589000000000000.0,19,3.5070434,11979.63,1.75,6.65314,67,65,1.2297200000000001,-1
189,YLR383W,587000000000000.0,37,3.824644,52787.33,0.9647237,7.21173,177,177,0.46556000000000003,-1
190,YIL128W,581000000000000.0,23,3.6126745000000002,35066.61,3.016268,5.64203,126,110,0.6982,-1
191,YHL007C,578000000000000.0,33,3.7799404,53249.23,2.7244349,6.89313,112,110,0.53922,-1
192,YER165W,568000000000000.0,66,3.998817,118780.766,4.8953815,5.70844,78,69,0.62392,-1
193,YDR143C,564000000000000.0,19,3.5070434,15676.053999999998,2.7893220000000003,5.05267,71,49,0.36073,-1
194,YPL031C,559000000000000.0,52,3.9367256,71492.45,3.8257964,8.28143,33,35,1.26813,-1
195,YLR288C,558000000000000.0,99,4.079115,577794.7,2.7526565,5.189030000000001,68,49,0.87741,-1
196,YPL149W,556000000000000.0,26,3.6740646,15805.641000000001,0.90018153,8.647639999999999,28,31,1.63307,-1
197,YDL164C,553000000000000.0,21,3.5638937999999993,22476.139,0.6,7.4417100000000005,101,102,0.6220899999999999,-1
198,YDL134C,552000000000000.0,28,3.7088745000000003,36267.93,5.4633193,4.614319999999999,56,28,1.2155,-1
199,YPL022W,551000000000000.0,47,3.9065285000000003,130293.086,2.063126,5.29706,174,138,0.87411,-1
200,YNL311C,549000000000000.0,27,3.6919663000000003,24237.832000000002,1.0768073999999999,6.49786,96,92,0.89469,-1
201,YGL158W,547000000000000.0,36,3.8142917,42989.53,5.070483,5.27032,74,57,1.1347,-1
202,YLR196W,547000000000000.0,43,3.8779418,69350.91,1.9506008999999997,4.455509999999999,111,56,1.1573200000000001,-1
203,YPR054W,546000000000000.0,27,3.6919663000000003,24829.152000000002,1.3312289,8.90985,37,46,1.2207700000000001,-1
204,YHR020W,541000000000000.0,25,3.6550762999999997,8183.126,0.9695378000000001,6.016780000000001,94,86,1.27175,-1
