@relation All_Centrality

@attribute Subgraph numeric
@attribute Degree numeric
@attribute Eigenvector numeric
@attribute Information numeric
@attribute LAC numeric
@attribute Betweenness numeric
@attribute Closeness numeric
@attribute Network numeric

@data
704000000000000,36,0.036243,3.814292,1.666667,42788.566,0.02266,2.996949
701000000000000,47,0.03616,3.906528,3.787234,46735.926,0.022666,9.098276
699000000000000,30,0.03612,3.739711,0.533333,12711.814,0.022678,0.802278
671000000000000,49,0.035368,3.919299,3.714286,98602.586,0.02269,9.23855
667000000000000,31,0.03528,3.753913,0.83871,38231.855,0.02271,0.939394
666000000000000,30,0.035237,3.739711,1,27363.55,0.022651,1.21738
648000000000000,32,0.034767,3.767338,3.875,21946.426,0.022664,4.680599
640000000000000,26,0.034561,3.674065,2.923077,28411.283,0.022668,3.167578
630000000000000,24,0.034268,3.634514,1.833333,4348.041,0.022602,1.913043
625000000000000,24,0.034154,3.634514,1.333333,11359.315,0.022669,1.42657
621000000000000,31,0.034022,3.753913,0.451613,12705.258,0.022655,0.477961
613000000000000,48,0.033813,3.913122,9.041667,88938.39,0.022714,16.935835
611000000000000,31,0.033772,3.753913,1.935484,14386.353,0.022636,2.519759
611000000000000,28,0.033752,3.708874,0.571429,10379.154,0.022668,0.592593
609000000000000,23,0.0337,3.612674,1.652174,8694.562,0.022631,1.727273
605000000000000,32,0.0336,3.767338,2.25,19576.92,0.022655,3.293762
605000000000000,95,0.033598,4.072236,2.905263,314617.25,0.022777,11.678827
604000000000000,28,0.03356,3.708874,0.857143,19196.146,0.022639,1.186448
599000000000000,78,0.033428,4.035391,5.871795,192250.06,0.022777,20.861464
599000000000000,22,0.033421,3.589218,1.727273,28469.3,0.022625,1.809524
598000000000000,58,0.033398,3.966723,2.724138,92576.02,0.022743,7.480448
596000000000000,176,0.033354,4.152772,1.477273,957938.9,0.022813,17.774496
595000000000000,75,0.033325,4.027249,2,170903.45,0.022738,6.283229
594000000000000,97,0.033274,4.07566,2.061856,342628.47,0.022785,12.577809
591000000000000,32,0.033211,3.767338,2.875,24739.686,0.022664,5.394207
589000000000000,19,0.03315,3.507043,1.578947,11979.63,0.022641,1.75
587000000000000,37,0.033082,3.824644,0.648649,52787.33,0.022663,0.964724
581000000000000,23,0.032909,3.612674,2.869565,35066.61,0.022639,3.016268
578000000000000,33,0.03284,3.77994,2.484849,53249.23,0.02274,2.724435
568000000000000,66,0.032553,3.998817,2.181818,118780.766,0.022744,4.895382
564000000000000,19,0.032422,3.507043,2.526316,15676.054,0.022646,2.789322
559000000000000,52,0.032278,3.936726,0.961538,71492.45,0.022656,3.825796
558000000000000,99,0.032254,4.079115,0.323232,577794.7,0.022756,2.752657
556000000000000,26,0.032214,3.674065,0.692308,15805.641,0.022615,0.900182
553000000000000,21,0.032115,3.563894,0.571429,22476.139,0.022605,0.6
552000000000000,28,0.032095,3.708874,3.571429,36267.93,0.022688,5.463319
551000000000000,47,0.032052,3.906528,1.148936,130293.086,0.022679,2.063126
549000000000000,27,0.031997,3.691966,0.740741,24237.832,0.022635,1.076807
547000000000000,36,0.031943,3.814292,2.666667,42989.53,0.022654,5.070483
547000000000000,43,0.031942,3.877942,1.069767,69350.91,0.022716,1.950601
546000000000000,27,0.031907,3.691966,1.185185,24829.152,0.022634,1.331229
541000000000000,25,0.031776,3.655076,0.72,8183.126,0.022622,0.969538
539000000000000,23,0.03172,3.612674,2.521739,12016.222,0.022663,2.771645
538000000000000,30,0.031677,3.739711,2.533333,46460.926,0.022719,3.00249
538000000000000,64,0.031671,3.99156,5,85885.16,0.022717,12.875018
531000000000000,20,0.031482,3.536707,0.6,17281.875,0.02262,0.631579
523000000000000,52,0.03122,3.936726,1.653846,76347.21,0.022696,2.458571
517000000000000,62,0.031065,3.983797,2.387097,212547.44,0.022767,7.488657
510000000000000,23,0.03085,3.612674,1.043478,4218.0923,0.022612,1.090909
503000000000000,26,0.030618,3.674065,1.615385,27590.191,0.022643,1.73386
501000000000000,26,0.030584,3.674065,1.153846,17871.34,0.022639,1.593925
500000000000000,67,0.030525,4.002309,2.537314,210519.72,0.022737,8.607555
496000000000000,38,0.030425,3.834657,1.842105,27022.959,0.022678,3.967665
494000000000000,39,0.030367,3.844012,2,54977.43,0.022719,2.649658
492000000000000,24,0.030301,3.634514,1.333333,7329.2686,0.022609,1.410326
489000000000000,29,0.030198,3.72485,1.586207,23192.781,0.022645,3.120851
482000000000000,26,0.02999,3.674065,3.384615,23392.045,0.022672,4.046439
479000000000000,23,0.029881,3.612674,3.391304,5386.5044,0.022592,4.04292
473000000000000,25,0.029706,3.655076,2.16,16630.584,0.022652,2.311147
470000000000000,35,0.029605,3.80336,0.4,40131.496,0.022692,0.459244
465000000000000,32,0.029442,3.767338,2.6875,43928.11,0.02272,4.038274
463000000000000,37,0.029403,3.824644,2.324324,43189.14,0.022649,5.426424
463000000000000,29,0.029384,3.72485,1.310345,33779.617,0.022683,1.530538
463000000000000,23,0.029375,3.612674,2.086956,11730.15,0.022636,2.186147
461000000000000,30,0.029329,3.739711,1.266667,42906.7,0.02263,2.070348
460000000000000,45,0.029305,3.892867,1.377778,67467.3,0.022659,2.733491
453000000000000,22,0.029075,3.589218,1.545454,6836.1772,0.022624,1.626984
448000000000000,25,0.02891,3.655076,0.08,7512.35,0.022609,0.132576
437000000000000,27,0.028548,3.691966,2.740741,26744.389,0.022622,3.387433
435000000000000,20,0.028491,3.536707,1.3,4939.5435,0.022603,1.378289
435000000000000,29,0.028475,3.72485,1.517241,41957.215,0.022652,2.228002
431000000000000,15,0.028346,3.359922,0.533333,3274.7632,0.022572,0.62987
427000000000000,32,0.028236,3.767338,1.125,18873.09,0.022624,1.803041
427000000000000,19,0.028219,3.507043,1.894737,19567.316,0.022631,2.098214
425000000000000,24,0.028169,3.634514,0.416667,15875.568,0.022652,0.445445
420000000000000,15,0.027989,3.359922,0.4,2449.206,0.022598,0.557143
419000000000000,64,0.027964,3.99156,3.28125,134981.28,0.022718,7.449562
418000000000000,23,0.02793,3.612674,1.391304,8275.89,0.022639,1.632379
412000000000000,64,0.027727,3.99156,4.15625,128561.3,0.022692,20.361727
409000000000000,36,0.027632,3.814292,0.277778,50409.49,0.022643,0.868993
404000000000000,39,0.027467,3.844012,2.461539,39873.227,0.022678,4.109964
394000000000000,24,0.027123,3.634514,1.583333,19504.867,0.022627,1.965217
394000000000000,75,0.027094,4.027249,3.946667,279090.7,0.022723,12.926041
389000000000000,30,0.026934,3.739711,0.4,39316.188,0.022577,0.584782
388000000000000,20,0.026917,3.536707,0.7,14544.681,0.022583,1.515351
384000000000000,34,0.026771,3.792073,1.411765,57762.04,0.022653,2.431379
381000000000000,36,0.026653,3.814292,1.444444,59619.27,0.022676,3.540397
375000000000000,20,0.026465,3.536707,0.4,5144.416,0.02259,0.421053
375000000000000,32,0.026453,3.767338,12.3125,12521.584,0.022585,15.316033
374000000000000,72,0.026419,4.018588,2.833333,163030.86,0.022666,17.086695
370000000000000,21,0.026261,3.563894,2.285714,18380.756,0.022671,2.722689
369000000000000,25,0.026222,3.655076,1.36,15299.751,0.022631,1.72549
366000000000000,19,0.026144,3.507043,0.947368,13548.539,0.022605,1
366000000000000,19,0.026138,3.507043,0.210526,24518.852,0.022567,0.944444
366000000000000,26,0.026119,3.674065,1.615385,20868.258,0.022627,1.837834
363000000000000,38,0.026015,3.834657,1.631579,35665.582,0.022647,4.080693
361000000000000,49,0.025944,3.919299,4.244898,85063.26,0.022728,10.664062
359000000000000,29,0.025888,3.72485,2.896552,18155.934,0.022624,4.290336
358000000000000,17,0.025857,3.440162,2,3100.7031,0.022582,2.3125
356000000000000,43,0.025756,3.877942,1.581395,90120.414,0.022662,5.534829
351000000000000,28,0.025585,3.708874,1.928572,32194.49,0.022615,2.806227
350000000000000,44,0.025546,3.885575,3.590909,69459.53,0.022663,10.184402
349000000000000,152,0.025531,4.137511,1.434211,869709.1,0.022786,15.305178
345000000000000,23,0.025369,3.612674,0.086957,5610.4956,0.022606,0.295455
345000000000000,34,0.025354,3.792073,1.058824,66890.734,0.022668,2.126769
345000000000000,37,0.02535,3.824644,2.810811,87938.305,0.022713,3.645909
342000000000000,21,0.025245,3.563894,0.380952,24644.92,0.022575,0.4
339000000000000,34,0.025148,3.792073,1.764706,23531.156,0.022664,2.051573
337000000000000,28,0.025074,3.708874,6.857143,12622.767,0.022624,7.681261
336000000000000,32,0.025027,3.767338,1,41866.3,0.022668,1.24042
335000000000000,24,0.024997,3.634514,0.75,23979.742,0.022634,0.782609
331000000000000,24,0.024837,3.634514,1,37843.684,0.022651,4.271912
327000000000000,14,0.02469,3.313559,3.714286,2619.1335,0.022625,4
323000000000000,25,0.024544,3.655076,3.68,14671.708,0.022629,4.641575
316000000000000,49,0.02429,3.919299,2.979592,58354.535,0.02266,8.670735
312000000000000,58,0.02411,3.966723,2.896552,91897.46,0.022663,7.503472
311000000000000,27,0.0241,3.691966,1.185185,19288.643,0.022628,1.343735
310000000000000,16,0.024032,3.401861,0.5,1269.5317,0.022574,0.533333
308000000000000,15,0.023982,3.359922,0.8,7878.444,0.022604,0.857143
307000000000000,37,0.023927,3.824644,10.810811,21505.033,0.022602,16.595184
306000000000000,17,0.023878,3.440162,0.941176,9922.147,0.022587,1
301000000000000,21,0.023689,3.563894,0.571429,32531.785,0.02265,0.6
300000000000000,29,0.02366,3.72485,8.965517,9667.694,0.022582,10.399409
296000000000000,60,0.023481,3.975493,3.566667,99716.555,0.022676,10.296764
294000000000000,29,0.023436,3.72485,6.137931,24939.115,0.022622,7.176674
293000000000000,28,0.023368,3.708874,2.285714,20609.291,0.02263,3.116135
291000000000000,35,0.023303,3.80336,12.171429,14641.459,0.02259,16.377598
291000000000000,44,0.023289,3.885575,7.681818,30075.512,0.022675,12.608556
289000000000000,28,0.023226,3.708874,0.571429,43715.336,0.022668,1.030205
289000000000000,35,0.023212,3.80336,1.142857,27537.2,0.022621,1.408366
286000000000000,25,0.023107,3.655076,2.32,26393.219,0.022662,3.171459
285000000000000,59,0.023047,3.971098,2.338983,160811.98,0.022742,6.957848
285000000000000,72,0.023043,4.018588,2.916667,99655.68,0.022692,12.679095
278000000000000,22,0.022786,3.589218,0.636364,14200.03,0.022584,0.666667
278000000000000,20,0.022781,3.536707,1.2,12417.79,0.02259,1.615132
275000000000000,26,0.022659,3.674065,11.692307,8091.771,0.02256,13.484603
275000000000000,30,0.022646,3.739711,1.533333,33566.688,0.022633,2.080512
274000000000000,32,0.022607,3.767338,3.1875,54831.574,0.022688,4.523061
274000000000000,71,0.022605,4.015415,1.267606,190672.9,0.022687,6.524025
274000000000000,20,0.022602,3.536707,0.8,24582.006,0.022651,0.842105
274000000000000,18,0.022601,3.475123,1,13283.185,0.022603,1.25
270000000000000,29,0.022449,3.72485,6.137931,24100.605,0.022655,7.014582
270000000000000,24,0.022431,3.634514,1.083333,16792.72,0.022611,1.576761
266000000000000,29,0.022281,3.72485,2.275862,45175.63,0.022657,5.331228
266000000000000,12,0.022274,3.204705,0.5,5339.8247,0.022542,0.545455
262000000000000,32,0.022103,3.767338,1.0625,32960,0.022592,1.877437
258000000000000,11,0.021925,3.140127,1.636364,561.8307,0.022568,1.8
255000000000000,17,0.021811,3.440162,1.294118,11380.627,0.022629,2.34448
253000000000000,29,0.021711,3.72485,11.724138,9421.1875,0.022599,13.276671
252000000000000,28,0.021683,3.708874,0.642857,65395.16,0.022649,0.781614
252000000000000,21,0.021661,3.563894,1.333333,12158.212,0.022602,1.70202
248000000000000,23,0.021524,3.612674,4.086957,11288.156,0.022611,4.907738
248000000000000,96,0.02151,4.073985,0.229167,515188.34,0.022726,0.949544
247000000000000,24,0.021469,3.634514,0.916667,7124.748,0.022604,1.023603
247000000000000,18,0.021454,3.475123,0.777778,5745.644,0.0226,0.861344
246000000000000,23,0.021438,3.612674,0.347826,29714.615,0.022604,0.935786
246000000000000,18,0.021413,3.475123,2.222222,12379.188,0.022587,2.383646
246000000000000,22,0.021402,3.589218,1,16317.625,0.022686,1.421898
246000000000000,13,0.021402,3.26211,0,11678.553,0.022572,0
245000000000000,52,0.021393,3.936726,7.038462,76168.914,0.022644,16.763258
244000000000000,18,0.021348,3.475123,0.333333,5535.582,0.022571,0.352941
244000000000000,14,0.021341,3.313559,0.285714,6269.4683,0.022596,0.307692
244000000000000,14,0.021319,3.313559,0.857143,5513.992,0.022565,0.965035
242000000000000,34,0.021245,3.792073,4.411765,37162.727,0.022671,7.637321
240000000000000,26,0.021153,3.674065,5.384615,12185.974,0.022566,8.320704
238000000000000,86,0.021076,4.054495,1.674419,233972.92,0.022723,7.740625
238000000000000,16,0.021066,3.401861,0.625,12606.361,0.022508,0.666667
238000000000000,16,0.021049,3.401861,0.375,8615.151,0.022586,0.404762
237000000000000,10,0.021038,3.067233,0.2,4743.098,0.022542,0.666667
235000000000000,16,0.020954,3.401861,1.25,13323.847,0.02262,1.333333
234000000000000,21,0.020899,3.563894,0.761905,21758.09,0.022621,0.966667
233000000000000,29,0.020829,3.72485,11.24138,11381.635,0.022565,12.921548
231000000000000,15,0.020743,3.359922,0.666667,15932.283,0.022553,0.986111
230000000000000,29,0.020696,3.72485,1.310345,45642.594,0.022665,3.027605
229000000000000,26,0.020689,3.674065,1.769231,34310.266,0.022575,2.931502
228000000000000,19,0.020611,3.507043,0.315789,10952.067,0.022572,0.356151
227000000000000,16,0.0206,3.401861,0.25,15857.623,0.022577,1.483333
227000000000000,22,0.020574,3.589218,0.909091,7393.789,0.022608,1.168717
227000000000000,50,0.020555,3.92526,9.32,24597.748,0.022594,20.213099
223000000000000,22,0.020416,3.589218,0.909091,39271.38,0.022634,3.63658
223000000000000,23,0.020407,3.612674,1.652174,29487.725,0.022611,2.222056
221000000000000,20,0.020318,3.536707,0.7,25629.564,0.022664,0.813397
221000000000000,41,0.020315,3.861771,3.268293,50709.793,0.022652,5.500308
220000000000000,23,0.02028,3.612674,0.521739,21516.203,0.022603,0.670455
220000000000000,20,0.020248,3.536707,0.7,15868.361,0.022628,0.828385
219000000000000,20,0.020227,3.536707,2.1,8037.391,0.022607,2.789474
219000000000000,44,0.020212,3.885575,3.681818,95291.59,0.022642,8.771851
217000000000000,66,0.020134,3.998817,1.666667,203636.75,0.022697,4.440676
215000000000000,24,0.020029,3.634514,3.833333,13746.2705,0.022625,6.503101
215000000000000,29,0.020026,3.72485,1.310345,42438.082,0.022669,1.625595
215000000000000,23,0.020026,3.612674,0.956522,32967.9,0.022597,4.283571
215000000000000,15,0.02002,3.359922,1.066667,3725.4243,0.022545,1.196428
215000000000000,27,0.02001,3.691966,6.37037,12555.501,0.022584,6.851509
