Subgraph,Degree,Eigenvector,Information,LAC,Betweenness,Closeness,Network
1.26E+15,28,0.048464507,3.7088745,1,27114.28,0.022642683,2.538889
1.25E+15,35,0.048354976,3.80336,2.6285715,21000.66,0.022674646,3.565858
1.23E+15,25,0.04795931,3.6550763,2.88,8523.976,0.022635337,3.1964285
1.23E+15,46,0.0479312,3.8998218,1.2173913,59299.36,0.022690307,1.5548534
1.21E+15,34,0.04759977,3.7920728,2.1176472,38920.31,0.022716727,2.9417195
1.16E+15,49,0.046598904,3.9192986,0.8979592,71076.38,0.022724433,1.6140379
1.16E+15,32,0.04654072,3.767338,2.625,22164.223,0.022682525,2.7531238
1.14E+15,44,0.04612251,3.885575,0.90909094,27136.812,0.022720478,1.2393655
1.13E+15,57,0.045975093,3.962234,1.7192982,88605.33,0.022741787,2.8188818
1.12E+15,97,0.045803133,4.07566,5.0515466,217585.69,0.022769652,19.193378
1.10E+15,84,0.045276906,4.049944,0.95238096,285907.28,0.022731027,4.3767147
1.08E+15,61,0.044930324,3.9797077,7.377049,75032.07,0.022718756,18.6011
1.06E+15,37,0.044365134,3.824644,1.027027,19961.715,0.022727273,1.2403202
1.05E+15,34,0.044270415,3.7920728,3.7058823,35883.266,0.022614326,6.479189
1.05E+15,42,0.04417804,3.8698623,1.5714285,51480.914,0.02272778,2.5447922
1.04E+15,52,0.04413221,3.9367256,1.8461539,65608.78,0.022731027,4.533105
1.04E+15,69,0.04409361,4.009136,1.3333334,77437.65,0.022677979,4.6481366
1.03E+15,37,0.04384328,3.824644,3.4594595,25512.219,0.022638457,7.6505566
1.03E+15,33,0.04376334,3.7799404,1.8181819,38638.027,0.022654269,2.9877727
1.02E+15,25,0.04368918,3.6550763,0.64,5121.0576,0.022643792,0.72979796
1.01E+15,40,0.043494746,3.8530462,1,33718.582,0.022731839,1.1909468
1.01E+15,67,0.043380167,4.0023093,2.835821,132029.2,0.022702549,11.861795
1.01E+15,37,0.043363746,3.824644,2.108108,36702.246,0.022668893,3.3497312
1.01E+15,26,0.04331438,3.6740646,0.53846157,14339.387,0.022632921,0.7657143
1.00E+15,44,0.043202173,3.885575,1.7727273,86490.66,0.022726562,4.2069907
9.97E+14,72,0.043121032,4.018588,3.3888888,215597.98,0.022719769,10.122602
9.92E+14,37,0.043019865,3.824644,3.0270271,26809.547,0.022688994,3.6434205
9.87E+14,41,0.042917904,3.8617713,1.3170732,50326.793,0.022738742,1.5449528
9.84E+14,58,0.042849958,3.9667227,0.82758623,68580.1,0.022704877,2.240448
9.72E+14,40,0.042584334,3.8530462,1.25,32776.58,0.022676665,1.615966
9.69E+14,41,0.042514686,3.8617713,2.6341465,83531.5,0.022770975,3.3926408
9.51E+14,40,0.04211695,3.8530462,1.6,35215.133,0.022668893,1.8218412
9.42E+14,27,0.041919287,3.6919663,1.2592592,17331.426,0.02264057,2.5637686
9.22E+14,57,0.04146257,3.962234,2.7368422,93116.055,0.022732548,5.29973
9.20E+14,57,0.041423365,3.962234,1.5087719,123355.82,0.02277994,2.7694633
9.17E+14,37,0.041357968,3.824644,0.9189189,39009.598,0.022709332,1.3267419
9.16E+14,30,0.04134639,3.7397115,0.8,18223.328,0.022638254,1.179097
9.13E+14,48,0.04126331,3.9131224,3.4583333,72395.04,0.02271237,7.340451
9.02E+14,44,0.041025937,3.885575,0.8181818,55873.168,0.022670407,2.2858238
8.76E+14,38,0.040433794,3.8346567,3.8421052,22424.266,0.022679191,5.111795
8.74E+14,54,0.040384114,3.9474416,4.111111,128478.586,0.022756627,8.623471
8.54E+14,42,0.0399027,3.8698623,2.5238094,45203.477,0.022726258,3.2743645
8.51E+14,49,0.03984135,3.9192991,2.4081633,66309.57,0.022704573,5.233747
8.46E+14,29,0.03973421,3.7248504,2.0689654,9852.412,0.022636745,2.189118
8.39E+14,45,0.039559692,3.8928666,2.4444444,53861.44,0.022681212,4.604173
8.37E+14,43,0.0395096,3.8779418,3.1162791,105669.41,0.022762017,3.8815827
8.36E+14,43,0.039484825,3.8779418,0.6511628,55813.582,0.022697894,0.8214967
8.32E+14,33,0.039383,3.7799404,1.7575758,32012.234,0.022629904,2.0479956
8.25E+14,29,0.039230328,3.7248504,3.586207,35519.844,0.022727678,4.193188
8.20E+14,34,0.039104912,3.7920728,2,44507.215,0.02266526,2.9311688
8.18E+14,44,0.03905784,3.885575,8.636364,39812.33,0.02265457,15.502938
8.16E+14,59,0.039014716,3.9710984,3.1525424,163593.58,0.022739857,8.662987
8.11E+14,24,0.03890079,3.6345143,3.3333333,5003.778,0.022634229,3.5491362
7.75E+14,44,0.03802974,3.885575,2.3181818,70008.875,0.022736406,3.972382
7.65E+14,37,0.03778116,3.824644,5.5675673,48740.36,0.022710243,8.57548
7.53E+14,28,0.03747375,3.7088745,0.42857143,17526.975,0.022618948,1.4555556
7.51E+14,41,0.03741916,3.8617713,0.9756098,45085.4,0.022722404,1.4811885
7.47E+14,28,0.037333317,3.7088745,1,17630.12,0.022635438,1.1354922
7.40E+14,31,0.037155047,3.7539134,0.83870965,9659.504,0.022611715,0.9310867
7.36E+14,33,0.0370519,3.7799404,1.030303,20314.252,0.022649836,1.1221591
7.33E+14,139,0.036970492,4.127139,4.1007195,569650.2,0.022818426,32.627872
7.32E+14,27,0.03695622,3.6919663,1.1111112,13682.008,0.022625681,1.1688963
7.31E+14,31,0.03693085,3.7539134,0.516129,57903.723,0.022701435,1.1345239
7.26E+14,42,0.036798168,3.8698623,8.952381,37630.094,0.022679191,13.472115
7.21E+14,280,0.036667664,4.1892104,0.35,2074496.4,0.022882925,7.292613
7.15E+14,30,0.036510896,3.7397115,1,41113.387,0.022691015,1.2157849
7.04E+14,36,0.03624308,3.8142917,1.6666666,42788.566,0.022660216,2.9969492
7.01E+14,47,0.03616028,3.9065285,3.787234,46735.926,0.022665562,9.098276
6.99E+14,30,0.036120333,3.7397115,0.53333336,12711.814,0.022678282,0.8022779
6.71E+14,49,0.035367567,3.9192991,3.7142856,98602.586,0.0226897,9.23855
6.67E+14,31,0.035279743,3.7539134,0.83870965,38231.855,0.022709535,0.93939394
6.66E+14,30,0.035236802,3.7397115,1,27363.55,0.02265054,1.2173803
6.48E+14,32,0.03476748,3.767338,3.875,21946.426,0.022664454,4.680599
6.40E+14,26,0.034560896,3.6740646,2.9230769,28411.283,0.022667883,3.1675777
6.30E+14,24,0.034268014,3.6345143,1.8333334,4348.041,0.022601679,1.9130435
6.25E+14,24,0.03415434,3.6345143,1.3333334,11359.315,0.022669397,1.42657
6.21E+14,31,0.034022193,3.7539134,0.4516129,12705.258,0.022655075,0.47796103
6.13E+14,48,0.033813294,3.9131224,9.041667,88938.39,0.02271379,16.935835
6.11E+14,31,0.033772163,3.7539134,1.9354838,14386.353,0.022636142,2.5197587
6.11E+14,28,0.033751953,3.7088745,0.5714286,10379.154,0.022668287,0.5925926
6.09E+14,23,0.033700474,3.6126745,1.6521739,8694.562,0.02263101,1.7272727
6.05E+14,32,0.033600334,3.767338,2.25,19576.92,0.022654671,3.2937624
6.05E+14,95,0.033597894,4.072236,2.9052632,314617.25,0.022776883,11.678827
6.04E+14,28,0.033560075,3.7088745,0.85714287,19196.146,0.02263886,1.1864479
5.99E+14,78,0.03342812,4.035391,5.8717947,192250.06,0.022777393,20.861464
5.99E+14,22,0.03342111,3.5892177,1.7272727,28469.3,0.02262538,1.8095238
5.98E+14,58,0.033398233,3.9667227,2.724138,92576.02,0.02274321,7.480448
5.96E+14,176,0.033353698,4.152772,1.4772727,957938.9,0.022813313,17.774496
5.95E+14,75,0.033325456,4.027249,2,170903.45,0.022737827,6.2832294
5.94E+14,97,0.033273883,4.07566,2.0618556,342628.47,0.022785036,12.577809
5.91E+14,32,0.033210777,3.767338,2.875,24739.686,0.022663949,5.3942065
5.89E+14,19,0.03315044,3.5070434,1.5789474,11979.63,0.02264067,1.75
5.87E+14,37,0.03308234,3.824644,0.6486486,52787.33,0.022662638,0.9647237
5.81E+14,23,0.032909088,3.6126745,2.8695652,35066.61,0.02263896,3.016268
5.78E+14,33,0.03284047,3.7799404,2.4848485,53249.23,0.022739757,2.7244349
5.68E+14,66,0.032553464,3.998817,2.1818182,118780.766,0.022743922,4.8953815
5.64E+14,19,0.032421615,3.5070434,2.5263157,15676.054,0.02264641,2.789322
5.59E+14,52,0.03227839,3.9367256,0.96153843,71492.45,0.022655578,3.8257964
5.58E+14,99,0.032253895,4.079115,0.32323232,577794.7,0.022756424,2.7526565
5.56E+14,26,0.032214474,3.6740646,0.6923077,15805.641,0.022615029,0.90018153
5.53E+14,21,0.03211475,3.5638938,0.5714286,22476.139,0.02260479,0.6
5.52E+14,28,0.03209486,3.7088745,3.5714285,36267.93,0.022688387,5.4633193
5.51E+14,47,0.03205243,3.9065285,1.1489362,130293.086,0.022678686,2.063126
5.49E+14,27,0.03199675,3.6919663,0.7407407,24237.832,0.022634834,1.0768074
5.47E+14,36,0.031943295,3.8142917,2.6666667,42989.53,0.022654068,5.070483
5.47E+14,43,0.031941723,3.8779418,1.0697675,69350.91,0.022716323,1.9506009
5.46E+14,27,0.03190717,3.6919663,1.1851852,24829.152,0.022634028,1.3312289
5.41E+14,25,0.031775877,3.6550763,0.72,8183.126,0.02262166,0.9695378
