Protein,Priority Fun_GO
YLL028W,0.143518519
YHR086W,0.143518519
YLR425W,0.143518519
YCR012W,0.143518519
YAL027W,0.143518519
YIL004C,0.143518519
YDL060W,0.143518519
YDL181W,0.143518519
YDR259C,0.143518519
YBR143C,0.143518519
YMR314W,0.143518519
YMR054W,0.143518519
YKL203C,0.143518519
YPR120C,0.143518519
YCR087W,0.143518519
YBR159W,0.143518519
YOR191W,0.143518519
YGR058W,0.143518519
YFL024C,0.143518519
YLR319C,0.143518519
YNL157W,0.143518519
YJR042W,0.143518519
YBR080C,0.143518519
YKL014C,0.143518519
YHR076W,0.143518519
YCL032W,0.143518519
YDR460W,0.143518519
YKR002W,0.143518519
YDL246C,0.143518519
YHR216W,0.143518519
YBR270C,0.143518519
YPR020W,0.143518519
YBR025C,0.143518519
YGL112C,0.143518519
YDL108W,0.143518519
YLR082C,0.143518519
YJR115W,0.143518519
YPL255W,0.143518519
YKR010C,0.143518519
YBL015W,0.143518519
YMR146C,0.143518519
YBR150C,0.143518519
YPL180W,0.143518519
YHL004W,0.143518519
YCL030C,0.143518519
YLR059C,0.143518519
YGL130W,0.143518519
YER052C,0.143518519
YPR104C,0.143518519
Q0085,0.143518519
YPL271W,0.143518519
YOL058W,0.143518519
YLR131C,0.143518519
YDR466W,0.143518519
YDR473C,0.143518519
YDL159W,0.143518519
YGR278W,0.143518519
YJL080C,0.143518519
YDR324C,0.143518519
YNR010W,0.143518519
YJL109C,0.143518519
YJL061W,0.143518519
YIL038C,0.143518519
YNL331C,0.143518519
YPR025C,0.143518519
YOL086C,0.143518519
YDR110W,0.143518519
YDL190C,0.143518519
YGL156W,0.143518519
YPL141C,0.143518519
YDR301W,0.143518519
YHR140W,0.143518519
YGL011C,0.143518519
YNL154C,0.143518519
YPR121W,0.143518519
YGR245C,0.143518519
YHL018W,0.143518519
YDR377W,0.143518519
YJR093C,0.143518519
YIL115C,0.143518519
YOL070C,0.143518519
YML068W,0.143518519
YCL011C,0.143518519
YHR133C,0.143518519
YHR184W,0.143518519
YEL013W,0.143518519
YML081C-A,0.143518519
YLR370C,0.143518519
YNR019W,0.143518519
YKL029C,0.143518519
YDR052C,0.143518519
YOR177C,0.143518519
YOR302W,0.143518519
YNL206C,0.143518519
YAL003W,0.143518519
YDR429C,0.143518519
YGL092W,0.143518519
YKL135C,0.143518519
YBL022C,0.143518519
YKL204W,0.143518519
YBR260C,0.143518519
YBR049C,0.143518519
YOR109W,0.143518519
YBR125C,0.143518519
YDR195W,0.143518519
YDR085C,0.143518519
YBR095C,0.143518519
