Level1,IC,LAC,Nor(IC),Nor(LAC),Nor(IC)*Nor(LAC)
YPL070W,3.7799404,2.1818182,0.394097784,0.080002209,0.031528693
YIL139C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YPR014C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL163C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL276C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR282C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGL165C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR076C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR390W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YPR137C-A,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR281C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR123W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR004C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL226W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YJL139C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR363C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR261C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YFR012W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLL029W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR325W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNR018W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR041C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL142W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YCL076W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YKR084C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL104C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YJL160C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YER137C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR356W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGR168C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGR126W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR204C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR275W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOL124C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDL103C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLL047W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGL214W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YCL020W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR406C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YEL059W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR266C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR287W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR008C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR273C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR301W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YJR079W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR157C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL319W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNR061C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR251C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR286W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR255W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR135C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGL117W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL050C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOL140W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGL186C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YJL204C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL327W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR256W-A,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YER098W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YCL033C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YML106W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR202W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YJL114W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YML110C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YAL063C-A,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDL159W-A,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YER055C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGL072C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YJL198W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR087C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR230W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR293W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR146W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBL082C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBL031W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLL060C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YML120C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YPL056C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR057C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBR262C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YCL049C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR290W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YEL057C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YEL074W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YER121W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YER170W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGL258W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YPL280W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR304C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR431W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR513W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGL020C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOL159C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YPL252C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR323C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YFR018C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGR062C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR222C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR063W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGR194C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YML071C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YIL027C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR099C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR317W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YEL006W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR028C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR057W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YPL107W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YAL023C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YCL073C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR406W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YKR009C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL038W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YFR033C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGR046W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YJR034W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YHL001W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YPL025C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YAR071W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YDR144C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR110C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YLR251W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YGR021W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YBL065W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YEL012W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YHL005C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YHR116W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YJL142C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YKL051W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YML082W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YMR114C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL211C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YNL235C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOL022C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR072W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR143C,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR334W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
YOR336W,1.3606248,0,-0.461211527,-0.068084993,0.031401583
