P25612,YCR107W
Q03441,YDL001W
Q03435,YDL002C
Q12158,YDL003W
Q12165,YDL004W
Q12124,YDL005C
P35182,YDL006W
P40327,YDL007W
Q12157,YDL008W
Q12023,YDL011C
Q12489,YDL012C
P32828,YDL013W
P15646,YDL014W
Q99190,YDL015C
P06243,YDL017W
Q12451,YDL019C
Q03465,YDL020C
Q00055,YDL022W
Q12264,YDL023C
P52290,YDL024C
Q12100,YDL025C
Q12147,YDL026W
Q07349,YDL027C
P54199,YDL028C
P32381,YDL029W
P19736,YDL030W
Q12389,YDL031W
Q12361,YDL035C
Q12069,YDL036C
Q12140,YDL037C
P12945,YDL040C
Q12352,YDL041W
P06700,YDL042C
Q07350,YDL043C
P10849,YDL044C
P38913,YDL045C
Q12408,YDL046W
P20604,YDL047W
P50112,YDL049C
Q07355,YDL050C
P33399,YDL051W
P33333,YDL052C
Q07362,YDL053C
Q07376,YDL054C
P41940,YDL055C
P39678,YDL056W
P25386,YDL058W
Q12223,YDL059C
Q07381,YDL060W
P41058,YDL061C
Q07410,YDL062W
Q07395,YDL063C
P50623,YDL064W
Q07418,YDL065C
P21954,YDL066W
P07255,YDL067C
P14066,YDL069C
Q07442,YDL070W
Q07438,YDL071C
Q07451,YDL072C
Q07454,YDL073W
Q07457,YDL074C
P0C2H8,YDL075W
Q07458,YDL076C
Q07468,YDL077C
P50873,YDL079C
Q07471,YDL080C
P05318,YDL081C
Q12690,YDL082W
Q07478,YDL084W
Q07500,YDL085W
Q07505,YDL086W
Q07508,YDL087C
Q05166,YDL088C
Q12066,YDL089W
P22007,YDL090C
Q12229,YDL091C
P38985,YDL092W
P52867,YDL093W
Q07509,YDL094C
P33775,YDL095W
Q07521,YDL096C
Q12377,YDL097C
Q12368,YDL098C
Q12191,YDL099W
Q12154,YDL100C
P39009,YDL101C
P15436,YDL102W
P43123,YDL103C
P43122,YDL104C
P43124,YDL105W
P07269,YDL106C
P06242,YDL108W
Q12513,YDL110C
Q12277,YDL111C
Q07527,YDL112W
Q07528,YDL113C
Q07530,YDL114W
Q07532,YDL115C
P52891,YDL116W
Q07533,YDL117W
Q07535,YDL118W
Q07534,YDL119C
Q07541,YDL121C
Q07549,YDL123W
Q07551,YDL124W
Q04344,YDL125C
P25694,YDL126C
P25693,YDL127W
Q99385,YDL128W
Q07555,YDL129W
P10622,YDL130W
Q12122,YDL131W
Q12018,YDL132W
Q12516,YDL133W
P23594,YDL134C
Q12434,YDL135C
P19146,YDL137W
Q12300,YDL138W
Q12334,YDL139C
P04050,YDL140C
P39078,YDL143W
Q07589,YDL144C
P53622,YDL145C
Q12342,YDL146W
Q12250,YDL147W
Q99207,YDL148C
Q12142,YDL149W
P25441,YDL150W
Q12136,YDL153C
Q12175,YDL154W
P24870,YDL155W
Q12510,YDL156W
Q12047,YDL158C
P06784,YDL159W
Q3E774,YDL159W-A
P39517,YDL160C
Q12518,YDL161W
Q12307,YDL162C
P04819,YDL164C
P06100,YDL165W
Q12055,YDL166C
P32770,YDL167C
P32771,YDL168W
Q12680,YDL171C
Q12135,YDL172C
Q12515,YDL173W
Q12476,YDL175C
P46681,YDL178W
Q12477,YDL179W
Q12301,YDL180W
P01097,YDL181W
P48569,YDL183C
P17255,YDL185W
P48568,YDL186W
P23595,YDL188C
Q05672,YDL189W
P54860,YDL190C
P0CX84,YDL191W
P11076,YDL192W
Q12063,YDL193W
P38968,YDL195W
Q12187,YDL196W
P38988,YDL198C
Q12407,YDL199C
P26188,YDL200C
Q12009,YDL201W
P36521,YDL202W
Q07622,YDL203C
Q12443,YDL204W
Q12315,YDL207W
P32495,YDL208W
Q12046,YDL209C
P32837,YDL210W
Q02774,YDL212W
Q07623,YDL213C
Q12310,YDL214C
P33327,YDL215C
Q12468,YDL216C
Q12328,YDL217C
Q07629,YDL218W
Q07648,YDL219W
P32797,YDL220C
Q07649,YDL221W
Q07653,YDL223C
Q07655,YDL224C
Q07657,YDL225W
P35197,YDL226C
P11484,YDL229W
P25044,YDL230W
Q99380,YDL232W
Q07684,YDL233W
Q07688,YDL235C
P19881,YDL236W
Q07716,YDL237W
Q07732,YDL239C
P35688,YDL240W
Q07738,YDL241W
Q07747,YDL243C
P54854,YDL245C
Q07786,YDL246C
Q07788,YDL248W
P32356,YDR001C
P41920,YDR002W
Q03446,YDR003W
P25301,YDR004W
P41910,YDR005C
P40317,YDR006C
P00912,YDR007W
P13045,YDR009W
Q12426,YDR010C
P49626,YDR012W
Q12488,YDR013W
Q12248,YDR016C
Q12494,YDR017C
Q12185,YDR018C
Q12084,YDR020C
Q12099,YDR021W
Q12421,YDR022C
P07284,YDR023W
Q99341,YDR024W
Q12457,YDR026C
Q12071,YDR027C
Q00816,YDR028C
Q12021,YDR030C
Q04341,YDR031W
Q12335,YDR032C
P40971,YDR034C
P28817,YDR036C
P15180,YDR037W
Q12691,YDR038C
Q01896,YDR039C
P13587,YDR040C
Q03201,YDR041W
Q03205,YDR042C
Q03125,YDR043C
P11353,YDR044W
Q04307,YDR045C
P41815,YDR046C
P00942,YDR050C
P32325,YDR052C
P14682,YDR054C
Q12355,YDR055W
Q12025,YDR056C
Q12176,YDR060W
Q12298,YDR061W
P40970,YDR062W
Q12156,YDR063W
Q12378,YDR066C
Q12454,YDR067C
P54858,YDR068W
P32571,YDR069C
Q12497,YDR070C
Q12447,YDR071C
P38954,YDR072C
P38956,YDR073W
P31688,YDR074W
P32345,YDR075W
P38953,YDR076W
P38957,YDR078C
Q3E7C1,YDR079C-A
P38958,YDR079W
P38959,YDR080W
P38960,YDR082W
P38962,YDR084C
P33304,YDR085C
P35179,YDR086C
P35178,YDR087C
Q02775,YDR088C
Q03195,YDR091C
P52490,YDR092W
Q12675,YDR093W
Q03831,YDR095C
Q03833,YDR096W
Q03834,YDR097C
Q03835,YDR098C
P34730,YDR099W
Q03860,YDR100W
Q03862,YDR101C
Q03864,YDR102C
P32917,YDR103W
Q03868,YDR104C
Q12116,YDR105C
Q04549,YDR106W
Q04562,YDR107C
P46944,YDR108W
O13329,YDR110W
P52892,YDR111C
P40316,YDR113C
Q04598,YDR115W
Q04599,YDR116C
Q04601,YDR118W
Q04602,YDR119W
P15565,YDR120C
Q04603,YDR121W
P13185,YDR122W
P26798,YDR123C
Q04629,YDR126W
P08566,YDR127W
Q03897,YDR128W
P32599,YDR129C
Q03898,YDR130C
Q03899,YDR131C
Q03900,YDR132C
Q03904,YDR133C
P39109,YDR135C
Q03913,YDR136C
P16664,YDR137W
P17629,YDR138W
Q03919,YDR139C
Q03920,YDR140W
Q03921,YDR141C
P39108,YDR142C
P22470,YDR143C
P53379,YDR144C
Q03761,YDR145W
P08153,YDR146C
P19262,YDR148C
Q00402,YDR150W
Q03768,YDR152W
P14832,YDR155C
P50106,YDR156W
P13663,YDR158W
P46674,YDR159W
Q03770,YDR160W
Q12163,YDR162C
P30619,YDR164C
Q03774,YDR165W
P89102,YDR166C
Q12030,YDR167W
P06101,YDR168W
Q12427,YDR169C
P11075,YDR170C
Q03964,YDR170W-A
Q12329,YDR171W
P05453,YDR172W
P07250,YDR173C
Q03973,YDR174W
Q03976,YDR175C
P32494,YDR176W
P21734,YDR177W
P37298,YDR178W
Q03981,YDR179C
Q04002,YDR180W
Q04003,YDR181C
Q04004,YDR183W
Q04005,YDR184C
P39079,YDR188W
P22213,YDR189W
Q03940,YDR190C
P49686,YDR192C
P15424,YDR194C
P42073,YDR195W
Q03941,YDR196C
Q03942,YDR198C
Q03944,YDR200C
Q03954,YDR201W
Q03956,YDR202C
Q03455,YDR205W
Q03466,YDR206W
P39001,YDR207C
P32501,YDR211W
P12612,YDR212W
Q12151,YDR213W
Q12449,YDR214W
Q12240,YDR215C
P07248,YDR216W
P14737,YDR217C
Q04921,YDR218C
Q04922,YDR219C
Q04924,YDR221W
P02293,YDR224C
P04911,YDR225W
